sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
61.12416558738089,90.46372253441034,2.421529173776872,-1.252069421320786e-06,1.9378293187957654,-3.5244246515073067e-07,8.880900207792664,3.8161223050981446e-08,13.329414808243005
62.25804343843448,116.6269394462061,1.2381275178982551,8.829669272234159e-08,3.1150766982471665,3.4509899849903757e-07,6.417677816969025,4.383399715785615e-07,16.397927694275605
63.197622022171764,105.92500925403294,2.2277437421919637,-1.119385019512493e-08,5.344931465604774,-4.6676234411621586e-08,9.125762084883338,-5.8192969385187767e-08,7.792914345564412
62.03874234288792,90.10200359200385,1.563984570400274,-3.222560441941425e-07,4.452335607829984,1.0561616902486326e-06,7.295186876060928,-5.6813860740959286e-08,5.24552174642797
60.104377979969506,111.46055644457117,1.5776778146492332,3.643739263601196e-07,3.541821203603474,-1.1268876214632943e-06,2.7893799317889703,3.47936688122577e-07,5.465978083007392
59.73786235452209,97.5613956813473,1.6116821274865365,1.5312292479477936e-06,4.620064478570494,1.1597328682035218e-06,5.017490328900037,5.983687484158854e-08,6.971642593654946
61.34778924254932,142.78729590311997,1.3200255256167601,-1.7283493041378175e-07,2.3450255205947426,-3.6222197557585687e-07,4.716615536294461,1.7627038136382244e-07,8.035718596178597
64.7140428004445,115.11177383309636,1.5286405497990931,-1.037795171656486e-06,3.6243083519821218,-1.4297819846189796e-06,4.628693370617192,-9.485760176897892e-08,9.175280048344462
60.58395728258387,120.91414588458701,0.9448334916204979,7.78875289053432e-07,2.466676099772072,4.187250345527754e-07,7.8329809330434115,2.6400889105698466e-08,22.757872277638526
58.32582391151079,94.35001991649354,1.1804082808269443,-4.5144470266376306e-07,2.6065010885201003,4.799213899418533e-07,6.632644219434327,6.119922871080285e-08,12.54049925913303
59.39558342701077,86.96620815091462,1.5566360643888923,-1.7638543543414323e-07,4.653890416072801,-4.799891907450263e-07,5.790796590330192,-3.335135156688041e-07,16.292296395304398
59.38857817740857,118.87983015015766,1.3136035159260224,4.260009609487633e-07,3.3713388517066836,8.640522338106203e-07,5.466539623844882,7.554154070697531e-08,3.220843492316508
59.167311273355494,103.37217537522787,1.7383352446801634,-1.9319673495442015e-07,5.696559444549105,-3.76549535472587e-07,7.225222721953173,7.333975785183994e-08,5.1162274467142375
60.26770820591517,132.59026825532078,1.3366957126355314,9.266051744267983e-08,4.544591232571809,2.761711369158203e-07,4.829050429450391,4.518017597701149e-07,6.3763174703918075
60.26770820591517,132.59026825532078,1.3366957126355314,9.266051744267983e-08,4.544591232571809,2.761711369158203e-07,4.829050429450391,4.518017597701149e-07,6.3763174703918075
